No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,,,,,,,,,,,,,,,time 2,time 1,delay 1,delay 2,jiter
30,23.912893,192.168.100.10,74.125.68.190,TCP,1466,50249  >  443 [ACK] Seq=738 Ack=213 Win=66048 Len=1412 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,23.912923,192.168.100.10,74.125.68.190,TLSv1.3,382,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,23.930166,74.125.68.190,192.168.100.10,TCP,56,[TCP Previous segment not captured] 443  >  50249 [ACK] Seq=824 Ack=2478 Win=72448 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,23.935946,74.125.68.190,192.168.100.10,TCP,634,"[TCP Out-Of-Order] 443  >  50249 [PSH, ACK] Seq=213 Ack=646 Win=66816 Len=580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,23.93595,74.125.68.190,192.168.100.10,TCP,85,"[TCP Retransmission] 443  >  50249 [PSH, ACK] Seq=793 Ack=738 Win=66816 Len=31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,23.935951,74.125.68.190,192.168.100.10,TLSv1.3,454,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,23.936098,192.168.100.10,74.125.68.190,TCP,54,50249  >  443 [ACK] Seq=2478 Ack=1224 Win=65024 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,23.937673,192.168.100.10,74.125.68.190,TLSv1.3,85,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,23.9522,74.125.68.190,192.168.100.10,TLSv1.3,85,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,23.952204,74.125.68.190,192.168.100.10,TLSv1.3,93,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,23.952353,192.168.100.10,74.125.68.190,TCP,54,50249  >  443 [ACK] Seq=2509 Ack=1294 Win=65024 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,23.958083,192.168.100.10,74.125.68.190,TLSv1.3,93,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,23.959111,74.125.68.190,192.168.100.10,TCP,56,443  >  50249 [ACK] Seq=1294 Ack=2509 Win=72448 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,23.97454,74.125.68.190,192.168.100.10,TCP,56,443  >  50249 [ACK] Seq=1294 Ack=2548 Win=72448 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,24.338489,192.168.100.10,192.168.100.1,DNS,71,Standard query 0x7c6e A i.ytimg.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,24.362202,192.168.100.1,192.168.100.10,DNS,87,Standard query response 0x7c6e A i.ytimg.com A 172.217.194.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,24.377146,192.168.100.10,172.217.194.119,TCP,66,50250  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,24.402205,172.217.194.119,192.168.100.10,TCP,66,"443  >  50250 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM=1 WS=256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,24.402386,192.168.100.10,172.217.194.119,TCP,54,50250  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,24.410585,192.168.100.10,172.217.194.119,TLSv1.3,631,Client Hello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,24.436193,172.217.194.119,192.168.100.10,TCP,54,443  >  50250 [ACK] Seq=1 Ack=578 Win=66816 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,24.4522,172.217.194.119,192.168.100.10,TLSv1.3,266,"Server Hello, Change Cipher Spec, Application Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,24.469803,192.168.100.10,172.217.194.119,TLSv1.3,118,"Change Cipher Spec, Application Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,24.470726,192.168.100.10,172.217.194.119,TLSv1.3,146,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,24.471365,192.168.100.10,172.217.194.119,TLSv1.3,435,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,24.498265,172.217.194.119,192.168.100.10,TLSv1.3,634,"Application Data, Application Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,24.49827,172.217.194.119,192.168.100.10,TLSv1.3,85,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,24.498272,172.217.194.119,192.168.100.10,TLSv1.3,420,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,24.498456,192.168.100.10,172.217.194.119,TCP,54,50250  >  443 [ACK] Seq=1115 Ack=1190 Win=65024 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,24.499197,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,24.4992,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,24.499294,192.168.100.10,172.217.194.119,TCP,54,50250  >  443 [ACK] Seq=1115 Ack=4014 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,24.500198,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,24.500201,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,24.500203,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,24.500209,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,24.50028,192.168.100.10,172.217.194.119,TCP,54,50250  >  443 [ACK] Seq=1115 Ack=9662 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,24.512318,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,24.512327,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,24.512535,192.168.100.10,172.217.194.119,TCP,54,50250  >  443 [ACK] Seq=1115 Ack=12486 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,24.514671,192.168.100.10,172.217.194.119,TLSv1.3,85,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,24.525245,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,24.525251,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,24.525403,192.168.100.10,172.217.194.119,TCP,54,50250  >  443 [ACK] Seq=1146 Ack=15310 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,24.527234,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,24.527239,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,24.527371,192.168.100.10,172.217.194.119,TCP,54,50250  >  443 [ACK] Seq=1146 Ack=18134 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,24.52823,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,24.528236,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,24.528365,192.168.100.10,172.217.194.119,TCP,54,50250  >  443 [ACK] Seq=1146 Ack=20958 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,24.530214,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,24.53022,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,24.530346,192.168.100.10,172.217.194.119,TCP,54,50250  >  443 [ACK] Seq=1146 Ack=23782 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,24.532224,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,24.532229,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,24.532365,192.168.100.10,172.217.194.119,TCP,54,50250  >  443 [ACK] Seq=1146 Ack=26606 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,24.534229,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,24.534235,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
